ID,Age ,Income,Car,Prop,Biz,Debtmonthly,debtmaturity,family,responsibility,skepticisim,determinism,introvert,informed,cash_p,satisfaction
38,31,29923,88984,662371,255795,7334,167,3,5,5,1,1,1,1,4
39,25,32242,86740,796907,73087,1775,210,4,3,4,5,4,4,4,4
40,31,39407,12854,282651,460912,4497,34,1,4,2,5,1,5,5,1
41,33,42155,82097,500335,771618,8015,97,3,2,3,5,1,1,4,1
42,26,29681,58917,506203,154293,453,43,3,5,5,2,1,5,2,4
43,34,25196,41300,999706,527370,7924,239,3,5,1,3,1,4,5,3
44,26,40848,72132,805648,557197,1597,138,1,2,4,1,1,2,4,3
45,34,44429,23566,330605,861770,8950,103,3,2,1,3,4,2,4,1
46,32,33375,22077,847142,607326,6413,177,2,4,5,1,5,4,4,3
47,25,39332,20610,765896,1177875,713,88,4,4,3,5,4,4,5,3
48,24,25418,30604,945009,1125244,7280,203,4,4,2,1,2,5,4,4
49,33,8241,77471,803526,336816,6916,49,5,4,3,3,5,2,2,4
50,34,24158,58387,65199,875822,2511,123,5,2,5,2,5,4,5,5
51,28,22848,11596,440760,643092,4457,120,1,3,2,2,2,4,5,3
52,26,25930,23379,205134,718925,1492,11,4,2,1,5,5,5,5,4
53,27,32006,36980,642246,1014242,3521,61,1,2,4,3,3,3,5,5
54,27,32338,77635,113449,623897,6837,94,3,5,5,1,1,1,5,2
55,28,30355,80536,1213410,1171459,1191,58,5,5,1,4,3,5,4,1
56,25,20852,18659,1188288,1240497,3397,8,4,2,1,4,2,3,1,2
57,24,42256,84644,480178,103053,76,110,3,3,4,1,5,3,3,3
58,28,18491,73654,165441,31628,4069,11,5,3,4,3,5,4,1,3
59,33,26746,17206,515247,368612,9804,135,1,2,5,1,2,3,4,3
60,30,13121,16084,92587,162908,6024,16,2,4,4,5,4,4,3,1
61,24,22817,14587,343802,478052,5496,153,1,4,3,3,3,2,1,5
62,27,33773,18072,321788,356072,2815,235,4,5,4,2,1,2,4,1
63,33,34490,60408,906150,32824,1232,229,2,2,1,5,1,2,3,1
64,28,31578,9904,1248013,53931,7890,172,1,1,2,4,5,2,3,3
65,26,22753,61968,575425,276041,2294,102,1,5,4,4,3,1,2,3
66,30,39168,37794,551190,532287,5382,64,3,5,5,1,1,3,2,2
67,31,39834,80927,880015,630357,5913,26,2,2,2,2,5,5,1,5
68,32,37080,83620,1192035,731048,8128,212,1,4,1,5,5,1,1,3
69,34,39894,15633,45089,572072,815,162,4,5,5,4,4,1,1,4
70,34,39896,3271,36481,878650,1431,28,2,4,2,2,2,4,5,2
71,33,8662,51206,225799,653416,5143,3,5,2,3,5,1,5,4,2
72,28,39929,55521,480934,968736,4973,148,2,2,5,1,5,1,2,3
73,31,36983,11052,425375,459964,5055,75,3,5,2,1,1,2,5,1
74,29,31073,32756,1240995,911010,2423,114,4,5,4,5,2,1,3,2
75,35,17651,49715,631709,305991,4787,145,5,4,3,4,5,5,1,2
76,31,37812,10604,638822,784117,3586,148,4,3,5,2,1,3,2,2
77,27,25763,57514,877866,1091677,5189,140,2,3,3,2,1,4,3,1
78,30,12182,82081,1079814,431569,9917,158,3,5,3,2,4,5,5,1
79,31,10883,84066,1049048,695739,164,0,1,5,1,4,1,2,3,2
80,34,39640,61319,108571,514111,8149,77,2,4,2,2,2,3,2,3
81,28,40027,63856,87452,634888,1973,228,4,3,3,4,2,4,5,2
82,34,35838,57447,874140,592659,204,158,1,5,4,5,1,3,3,3
83,31,20723,28171,1178107,577616,2192,211,3,5,3,5,3,1,3,2
84,31,12653,88592,273289,64761,5289,183,3,1,3,1,3,2,4,1
85,29,41894,16778,638323,976288,1696,227,3,3,1,3,3,1,4,2
86,25,24121,44221,362594,299191,3194,148,1,3,3,4,2,5,4,5
87,26,22991,68756,600648,608376,2751,78,4,4,4,5,3,2,3,1
88,28,32003,83524,929871,870513,6077,105,1,1,2,5,1,5,1,4
89,33,37457,64628,957041,1005853,539,96,1,2,5,2,2,3,2,5
90,26,37779,53672,643765,219290,1315,30,5,5,2,2,3,3,4,5
91,34,10588,71213,907808,442385,2101,222,4,5,4,1,5,4,1,1
92,24,39978,31354,533008,1154628,4895,101,5,1,2,4,3,5,2,1
93,31,19608,29696,801835,937452,3312,34,2,1,3,5,2,4,2,2
94,35,17765,75890,121961,586006,5268,140,1,1,1,1,1,5,4,1
95,34,34999,82141,406792,855682,5294,198,1,5,1,1,2,5,4,4
96,25,17674,13913,99635,110331,2874,64,5,1,4,4,2,4,4,5
97,34,11977,33357,561959,681379,7418,131,5,4,5,3,1,5,4,3
98,27,36852,61063,794085,462968,2807,185,1,5,4,4,3,5,4,5
99,24,43977,18090,489107,575604,345,229,4,3,2,3,4,3,4,3
100,28,12443,86355,853101,904722,840,11,1,2,1,2,3,2,1,3
101,33,17059,12598,744282,948153,1607,75,3,5,5,2,2,5,1,1
102,27,11361,79269,1028487,528577,237,210,5,4,1,1,2,5,2,1
103,33,39548,71898,560347,1176369,8103,189,1,3,5,5,1,3,1,2
104,29,8377,58623,1024485,36306,7914,75,3,2,5,5,4,2,1,2
105,31,42484,37305,416959,1241207,3060,104,4,4,1,1,2,1,3,1
106,31,44291,71911,266754,435259,8915,29,5,3,2,1,4,5,1,1
107,25,22791,10715,672318,675180,7562,58,3,1,4,5,3,1,2,4
108,35,14472,73751,11174,182224,2273,105,3,5,4,3,3,4,1,2
109,28,30957,7022,158779,412387,6579,171,3,4,1,3,2,4,2,2
110,30,32444,61779,35983,330084,5092,86,4,4,3,2,3,2,4,1
111,32,44740,61135,631976,359432,7669,57,3,1,3,4,1,5,4,2
112,31,27574,29321,117033,1063449,5560,199,5,2,3,3,4,2,4,4
113,35,10310,32592,174210,658554,5053,99,3,2,1,4,2,5,4,2
114,30,9313,87577,298112,445751,3930,234,5,3,2,3,3,2,4,5
115,24,10272,930,645590,909353,7746,225,3,1,5,3,4,4,5,2
116,30,8003,13517,423340,157897,8416,199,4,4,3,5,3,4,5,2
117,25,40993,20593,1117841,294154,7498,225,5,2,2,3,2,2,4,1
118,29,42534,19797,536677,964020,3328,199,4,4,3,5,1,1,5,1
119,34,39025,2935,74832,528790,122,233,4,5,2,2,5,1,4,3
120,35,35014,63894,274549,808191,8954,72,3,3,2,1,3,4,2,4
121,26,28260,14881,574217,808630,9245,46,5,3,1,3,5,5,3,5
122,25,28168,81560,535296,1116845,6870,35,2,2,5,2,1,4,2,2
123,26,31380,36354,735768,528426,2639,42,2,3,3,5,1,4,4,3
124,26,16601,35075,7134,1244517,3411,231,4,4,4,4,2,1,5,1
125,24,28485,12524,1053009,674875,6245,139,2,5,1,5,5,2,1,2
126,34,37336,12541,122888,519539,5762,179,3,1,5,2,2,3,5,5
127,31,25939,84349,447682,915955,9743,105,1,2,2,4,3,3,1,3
128,28,37197,15960,1166981,896018,3547,201,5,3,2,1,2,4,3,2
129,30,12612,65905,756946,834368,8642,154,2,4,5,3,3,1,2,4
130,27,17414,52843,223247,317359,792,46,1,3,3,4,1,4,1,2
131,28,13878,85569,1179309,652033,7953,89,3,2,4,4,2,2,4,4
132,34,29113,72637,1056272,390587,3452,151,4,3,3,5,1,1,3,2
133,30,35292,15702,1116613,393782,1141,11,2,5,4,2,1,4,3,1
134,27,27758,32514,1161946,881935,9525,15,4,2,1,1,1,2,1,4
135,27,9413,14693,890536,986878,254,87,1,3,2,2,2,2,5,1
136,26,13238,55580,715009,1137400,6862,103,5,2,5,1,1,3,2,4
137,28,28862,25282,431947,557302,2905,85,5,1,4,5,3,5,2,2
138,28,23116,79578,359652,407602,9642,22,3,3,2,3,4,1,4,5
139,31,33203,4055,650491,948416,6709,124,3,1,3,5,5,2,4,2
140,30,24810,68036,1089086,864889,5980,127,3,2,2,2,2,4,3,2
141,34,32076,27305,418040,1058814,8429,140,2,1,5,2,2,4,4,5
142,28,14048,85782,1221097,991393,8913,65,4,2,1,1,2,4,4,1
143,35,26284,19047,25485,1106390,1336,153,5,3,3,1,2,3,2,5
144,28,40781,1511,754901,925826,4581,115,5,3,3,2,1,5,3,3
145,26,28601,726,660209,1200237,1073,139,4,4,4,3,1,2,2,2
146,33,16006,56529,902996,507587,864,185,3,3,2,1,5,2,2,4
147,24,43453,18189,82507,692094,7845,188,1,1,2,3,1,2,1,4
148,27,37716,6948,420831,1140793,5722,199,4,4,5,3,3,3,5,1
149,35,24295,52463,1226166,225274,3409,161,4,4,3,5,2,4,5,2
150,35,39028,16501,1068404,114909,1074,165,4,4,5,3,1,2,5,5
151,32,23045,63632,70034,812954,3027,163,3,1,5,4,3,1,2,2
152,27,37553,73701,1069832,121848,390,79,2,2,2,3,5,3,4,2
153,31,37590,68448,610920,1021445,7797,198,1,5,2,3,1,4,2,1
154,28,19632,590,893911,1121488,5766,231,5,5,5,1,2,1,2,1
155,27,44316,63458,104091,1286,4729,90,3,1,1,4,4,2,5,4
156,28,33976,64113,411656,624959,6974,171,2,2,3,5,4,4,5,4
157,25,42663,32823,446020,752464,7244,174,5,2,1,3,1,5,1,1
158,25,43650,70346,840077,948508,2787,35,1,2,5,5,1,2,1,1
159,34,11192,73162,552660,407688,1465,215,4,5,4,3,2,4,3,2
160,24,40921,1627,326201,280551,4582,121,3,4,1,4,4,4,3,1
161,35,22149,59957,958905,1011401,8891,109,3,5,1,3,4,2,4,3
162,24,31131,15172,1096914,571581,8690,25,2,1,4,5,5,3,1,4
163,30,28193,22391,394292,322386,2258,125,1,4,4,2,1,3,5,1
164,32,25952,20570,94527,340440,9307,83,4,1,1,1,2,4,4,3
165,27,34262,315,1232665,1041957,4033,214,4,4,4,5,1,2,4,3
166,28,14300,34767,349104,1042397,7177,238,3,3,4,4,3,4,3,4
167,32,39368,54030,1091665,115732,3622,99,3,4,2,2,3,1,2,5
168,30,44854,17998,1022428,1202073,1333,12,2,2,3,5,2,5,3,2
169,24,16300,399,1132502,232458,2388,122,3,3,2,4,4,1,4,3
170,31,35185,64740,36615,366480,9802,64,2,3,1,3,3,5,5,4
171,27,8090,30499,1119922,990456,3917,225,3,1,4,5,1,1,5,5
172,26,19013,23729,748619,245430,5004,111,5,4,4,3,3,4,4,4
173,24,21194,44205,1033498,200418,3743,121,2,3,5,4,5,1,5,2
174,24,22661,13560,163228,417294,9298,136,2,3,2,5,2,1,2,1
175,28,32379,11817,340111,1003833,3879,71,5,1,5,1,4,2,1,2
176,28,40968,88147,36002,889977,1851,213,4,5,2,3,1,5,2,5
177,31,23029,63407,1114732,652415,3310,62,4,5,2,1,2,2,5,3
178,32,41877,15281,890163,466050,2715,155,3,3,2,4,1,3,4,5
179,34,43548,14888,436297,1182690,2437,73,5,1,1,3,1,2,3,3
180,29,10464,58701,372317,712040,3446,117,3,3,4,2,4,4,3,5
181,32,36214,69319,1107736,314050,443,102,2,2,1,4,1,5,3,1
182,35,18817,25908,1034810,1000277,1753,210,5,4,5,2,5,1,5,5
183,29,33699,80807,221469,733685,4065,100,4,4,5,3,2,3,5,5
184,25,39434,79490,492086,25915,4633,69,3,4,3,2,1,4,3,5
185,30,16831,70910,317410,1206330,5181,224,4,5,2,5,1,1,1,1
186,24,44507,4664,1183357,1002623,9692,127,1,4,1,1,1,4,5,5
187,31,35225,63267,901983,965141,8847,105,5,4,2,1,2,3,5,4
188,33,30002,2956,1100827,246010,2178,180,2,2,1,4,2,1,4,5
189,24,22163,4761,1141426,546044,4345,236,3,1,5,3,5,5,4,1
190,29,25618,35361,89633,586865,9653,28,2,4,1,5,1,3,1,2
191,34,44337,63329,406670,797269,4612,14,2,3,4,5,3,1,3,2
192,27,36347,79872,821071,974538,6019,212,2,5,1,3,2,5,4,2
193,32,17889,19720,949722,780533,8769,183,2,1,5,1,1,5,3,5
194,25,21550,20058,155242,1190431,5388,119,3,4,5,3,4,4,3,4
195,25,15255,33727,1210915,211660,5410,59,1,2,4,3,2,3,1,5
196,33,19491,26361,504691,1133189,9238,217,1,1,4,2,2,1,1,2
197,24,24045,71570,595978,277242,1772,31,2,3,4,4,1,5,3,1
198,26,12024,30137,396871,22228,7937,22,1,5,3,4,1,4,3,1
199,33,18190,77136,671448,1120240,8605,237,1,3,2,5,5,5,5,2
200,35,20758,12151,635914,679084,8926,210,3,3,5,3,2,4,5,5
201,30,41087,29656,430403,615023,737,202,5,3,3,4,3,3,5,2
202,24,12015,63514,934042,1056458,560,159,5,4,1,3,1,1,1,3
203,29,34068,20848,571322,192908,2871,171,5,4,3,3,3,5,5,3
204,29,37459,17657,1159367,917753,9731,231,1,3,1,4,4,4,1,1
205,29,16183,34259,1033801,1185683,6131,219,5,2,1,2,5,4,1,5
206,24,17208,35536,953922,1229596,1002,190,4,4,4,2,1,5,4,5
207,32,24629,39185,842542,804248,6559,100,1,1,3,3,2,3,3,2
208,24,31393,44480,731216,273612,5018,145,3,2,2,2,2,3,4,1
209,24,36520,88125,735462,984244,8416,103,2,2,1,3,5,3,1,5
210,25,25720,70660,323882,519259,1835,30,5,1,4,2,4,4,1,5
211,25,12987,58716,1013108,202080,8668,199,1,3,3,3,5,1,4,5
212,28,10063,59693,707195,565214,3236,238,4,2,2,5,5,4,1,3
213,29,18155,68777,1178691,614855,3522,179,5,4,5,4,3,3,3,3
214,26,16761,7347,829574,217902,2890,68,2,2,2,3,4,5,2,1
215,33,16726,10600,88451,794328,57,217,5,5,1,5,2,5,2,5
216,30,15649,10887,732747,871712,5333,234,2,4,4,1,3,3,1,1
217,32,31917,38554,581946,691935,4048,133,1,3,4,1,3,3,3,4
218,27,9928,54524,773597,797659,2212,163,4,2,5,4,1,3,4,5
219,25,11638,16554,1136437,689060,3452,233,2,2,3,5,4,4,4,4
220,34,44121,63491,171883,724745,2593,60,5,3,2,5,3,3,5,2
221,33,24223,55771,763651,291014,2205,203,4,4,5,5,1,2,2,4
222,26,25803,8959,925576,299995,4759,139,1,2,4,2,4,5,4,5
223,27,23988,9701,875739,1012252,7813,153,2,1,1,5,4,3,1,1
224,27,17581,10090,137151,597341,1534,178,3,5,3,1,3,5,3,3
225,27,12794,8864,212939,691082,8517,236,1,5,2,4,3,4,4,5
226,25,22195,82204,577124,1022040,1713,25,5,1,2,2,3,3,5,5
227,32,28860,17056,866315,693531,5203,200,2,5,2,4,5,5,5,1
228,33,41973,61348,998633,389218,4384,149,1,5,2,3,4,1,5,5
229,33,25777,58095,95657,728448,424,76,4,4,4,5,5,5,4,4
230,34,42262,34143,1150918,1055108,407,199,3,4,3,4,2,2,4,4
231,29,15055,79628,815287,208328,5299,165,2,1,3,3,4,1,5,5
232,35,38758,7938,322011,1138925,7913,31,4,5,5,5,2,4,1,2
233,24,39178,482,331802,890459,4661,59,2,5,3,4,5,1,1,2
234,32,30901,63053,198888,116332,8813,182,1,1,1,3,2,2,3,4
235,29,38905,71990,216450,868732,831,177,2,5,1,2,1,2,2,3
236,24,23421,64868,648931,992248,5014,239,5,3,4,5,3,5,1,5
237,28,20926,78752,951378,909034,7103,112,3,1,2,2,3,5,2,2
238,25,26648,64201,720125,448721,6018,169,4,5,4,1,3,4,4,1
239,24,39695,2565,575190,207134,3073,62,5,5,5,3,2,3,5,2
240,35,40060,168,125350,413550,6578,235,2,1,4,5,1,4,4,4
241,35,10498,2661,451307,51395,8774,57,3,1,2,2,2,5,5,2
242,34,10007,79339,943715,214556,7546,130,1,5,1,2,4,2,3,2
243,29,36607,30337,40344,553351,1575,153,4,1,4,1,2,2,3,2
244,32,33889,70845,77921,470945,2937,98,4,5,1,3,3,1,5,2
245,24,10885,49777,226735,536856,8600,104,2,2,4,1,4,3,5,4
246,26,18159,46210,328446,98156,8264,170,4,5,5,2,5,5,2,1
247,34,27949,58592,837004,490470,7760,114,5,1,2,1,4,5,1,5
248,34,11693,35928,1210148,483201,2719,138,4,4,4,3,2,1,1,3
249,26,19986,2940,201948,495031,2550,9,3,3,4,4,1,2,1,1
250,25,8077,27184,304291,1205132,7784,159,5,5,3,1,4,1,1,3
251,26,8293,7345,314788,893356,7920,115,2,2,1,5,4,1,4,2
252,26,21088,8062,685500,185808,6208,210,3,1,2,3,1,1,3,4
253,28,12632,84320,729986,494581,4470,75,2,1,3,2,5,2,5,1
254,30,13707,8534,788187,889753,1129,221,3,5,5,1,2,4,5,1
255,30,17091,67009,538550,1119791,8514,236,4,2,1,2,5,2,3,5
256,28,39497,3463,500473,410287,2504,159,4,1,5,2,5,2,3,2
257,33,33291,12464,755740,424128,9936,103,2,1,3,1,4,4,5,1
258,28,14755,53339,540407,1157275,4680,160,2,4,2,5,2,1,2,3
259,35,24410,78208,519626,805300,7467,196,3,4,1,4,2,4,5,3
260,29,27625,64513,462234,494305,6359,102,1,5,5,5,4,5,2,2
261,24,30663,78285,135884,715038,4317,139,3,1,4,5,3,5,2,5
262,27,28477,37011,204738,239117,8223,138,4,1,3,2,2,5,4,5
263,30,24893,7385,943874,446313,7126,105,5,5,1,1,4,5,5,1
264,24,26391,11748,37271,168612,2329,214,4,1,4,1,5,5,4,1
265,27,19824,24596,912274,926607,2271,77,5,2,5,1,1,1,5,5
266,31,8806,22261,57889,1135729,4086,200,2,1,3,1,2,1,2,3
267,27,9287,32748,114295,532109,6411,188,4,2,3,5,2,4,5,1
268,32,34033,80256,20128,196567,97,216,5,4,5,4,2,4,3,1
269,26,36844,88402,766485,476314,9114,130,1,5,2,3,1,5,1,5
270,27,33031,61552,1229009,131201,8127,126,1,4,2,5,3,3,1,4
271,24,34430,66368,863705,481743,614,78,5,2,1,2,1,4,2,2
272,28,27207,71322,697212,631538,3457,49,5,5,1,5,5,4,5,1
273,34,27034,21314,760893,1111161,5860,225,1,1,2,5,1,2,3,3
274,25,25620,10482,1077932,186146,6718,134,3,1,4,1,3,5,1,3
275,34,9150,5906,1125679,330260,6071,130,4,2,4,3,4,4,3,3
276,32,13729,19017,425269,716929,3291,81,1,3,5,1,3,3,4,5
277,30,8278,50020,35162,1224373,8493,29,3,5,3,1,3,2,4,1
278,24,23976,4863,13329,902499,4682,116,4,2,5,2,2,3,3,4
279,33,30951,30992,1086582,728232,8600,170,2,2,5,1,1,2,3,4
280,27,23721,23425,1216557,835555,8127,23,2,5,5,2,5,3,4,5
281,30,44917,86388,192076,366781,5773,158,5,5,1,5,3,1,3,1
282,33,27809,16406,535846,1084619,6510,7,4,3,1,2,2,4,1,3
283,27,34071,34884,1161529,1072507,278,87,1,2,5,4,2,2,2,2
284,27,29330,10371,730564,444559,7480,179,5,3,3,2,3,2,5,3
285,27,34288,21254,931905,850485,6461,135,5,2,3,5,5,4,3,3
286,30,24647,28683,482848,380481,5472,43,1,5,4,3,3,5,3,4
287,24,34864,20907,124620,521295,6548,40,2,2,2,3,2,1,4,3
288,35,29985,28479,406580,602244,8595,94,5,3,5,1,1,2,1,1
289,35,37909,53345,151332,1202465,8892,26,4,5,4,1,5,4,1,3
290,32,11737,9563,556260,757252,6176,154,3,5,3,1,5,2,1,1
291,32,8070,9786,188260,572184,7009,179,1,4,1,1,4,1,1,3
292,34,9627,65445,367438,979520,2952,156,3,1,5,5,4,1,5,4
293,33,39937,36447,1179179,1027027,5592,39,1,5,1,1,3,5,2,2
294,35,10888,49958,474699,454373,9095,177,4,4,3,2,5,4,3,4
295,28,32271,8534,315093,790708,9147,52,4,1,5,4,1,4,3,1
296,34,16499,40772,1029196,1131590,1332,25,4,3,3,1,5,2,4,3
297,34,41105,8791,952078,951531,7804,206,3,2,1,1,2,5,5,4
298,33,23976,57007,108877,189576,2564,66,1,3,1,1,3,4,5,2
299,34,39815,4340,895063,1059740,6750,97,4,2,5,1,3,5,5,2
300,27,38022,14937,574846,212629,7857,154,2,5,3,4,4,3,3,3
301,35,44073,37349,1014236,1064037,4960,208,1,3,1,2,1,4,5,5
302,31,29758,87512,674480,1181595,3207,146,1,2,3,3,3,4,3,3
303,27,23480,41715,779663,922670,339,30,5,1,3,5,1,1,2,5
304,28,15758,82563,185075,125511,6132,120,4,2,1,2,5,1,3,4
305,25,10648,72764,1237544,1245015,9477,218,5,3,4,5,4,4,2,2
306,34,21887,62910,405174,201343,9351,156,1,3,4,3,2,5,5,1
307,30,10305,11991,181842,407295,5150,55,3,5,1,4,1,2,2,3
308,31,33342,61631,78425,433025,9578,83,1,2,5,2,3,1,1,5
309,33,42475,47273,1112926,805874,3318,209,4,4,1,5,2,3,5,3
310,29,33240,47012,920943,199646,203,20,5,3,5,2,4,3,5,3
311,28,42663,75284,398449,660396,8339,72,1,5,5,2,4,1,2,5
312,27,17790,73145,474666,438503,4676,117,5,5,5,5,5,5,1,2
313,31,36407,34014,1129189,1083794,6995,6,5,5,4,3,5,4,1,1
314,26,9140,56607,1134426,334857,7644,150,2,1,4,1,1,3,1,1
315,27,41486,7523,534789,1122917,8265,65,3,5,3,5,4,1,1,5
316,24,39060,25072,1177551,293060,538,218,4,5,1,5,2,5,2,1
317,30,10621,74524,1232357,583253,1412,171,4,2,3,5,2,3,1,4
318,29,44369,9413,309550,1000824,543,189,4,1,5,2,5,3,3,1
319,24,24398,80571,1035333,1215575,7716,160,1,3,4,4,4,4,4,4
320,26,35752,24150,369820,1207937,252,59,1,3,1,5,5,3,4,3
321,33,21890,61615,473847,139266,6867,221,1,2,3,5,3,3,1,3
322,34,8040,82220,1208016,1161283,9725,112,3,2,5,4,2,5,4,1
323,27,14091,47384,1042768,975549,9963,153,5,1,2,5,4,5,3,2
324,33,28082,25504,1001385,1184726,6241,22,5,3,5,2,3,5,5,1
325,27,35615,38525,560154,184973,9587,153,4,2,3,1,4,2,2,4
326,34,19094,66654,67360,713505,3476,208,1,5,1,1,4,2,1,5
327,26,13714,89033,858707,34209,9596,8,3,4,4,4,5,2,4,2
328,29,20153,51287,250234,92342,7061,13,1,2,1,2,2,2,1,4
329,27,22273,21439,961484,210407,7191,5,5,4,1,1,1,4,4,2
330,32,44673,52315,168418,1139898,9451,188,1,3,3,4,4,2,4,4
331,29,19933,17035,418326,176401,244,206,2,4,4,5,3,1,5,1
332,32,25952,84407,207800,293261,9685,13,1,5,2,1,5,4,4,1
333,26,18391,76790,580046,300638,6242,115,3,5,2,3,5,4,5,2
334,34,18116,28060,199861,543222,8886,26,1,5,4,1,4,2,3,5
335,25,27050,8418,1018472,75850,1911,218,2,4,4,4,5,5,5,1
336,26,24692,62495,996629,880933,1627,27,1,2,3,2,2,1,2,1
337,35,30723,4077,335280,324489,7292,137,3,2,3,1,1,4,5,3
338,25,8592,88501,239195,252446,6300,9,4,3,1,2,4,3,1,3
339,27,15596,61493,207518,684832,8400,121,2,1,3,2,5,4,4,4
340,33,32579,38721,169497,234145,4194,17,2,4,4,3,1,3,3,5
341,33,23801,77183,1230023,686370,715,214,3,3,1,3,3,4,2,5
342,31,41864,72201,1082139,311732,2823,18,3,5,2,4,1,1,1,2
343,30,15456,2240,549297,764896,4204,103,2,4,3,4,2,3,1,3
344,35,40644,68246,119322,461135,9968,93,1,3,3,3,2,4,1,4
345,24,35810,73519,547804,1212095,1690,45,5,4,5,3,5,3,4,5
346,34,30334,71395,932889,839822,7280,6,3,2,5,1,2,1,4,3
347,28,8739,47847,1017788,1176108,4120,99,4,2,5,4,5,2,3,5
348,29,9831,31690,637572,522833,2496,109,1,1,4,1,5,2,3,1
349,28,10468,6264,444117,549786,18,219,1,5,4,1,4,3,2,3
350,28,10938,63964,204307,1222191,6447,202,5,1,1,3,1,1,1,5
351,26,12912,31129,638204,1066919,2790,47,3,5,1,4,3,3,1,5
352,35,12490,73105,1059079,247211,2784,14,3,1,1,5,2,1,1,2
353,29,13403,58444,424170,1186858,6580,191,1,2,3,2,3,3,4,3
354,35,24820,76670,426987,130263,9179,26,3,4,1,3,5,3,1,1
355,31,13774,88295,1164658,596419,8110,100,2,5,4,4,5,5,2,1
356,32,25992,23110,904661,816632,7725,125,1,5,3,1,2,4,4,4
357,34,19329,66776,435691,1237616,5938,173,5,3,3,5,2,2,2,1
358,27,44572,87425,956213,912839,8742,226,4,1,5,3,2,1,4,3
359,31,17013,80757,976695,358960,3101,8,1,5,4,5,5,4,2,4
360,34,44095,88660,348792,297665,982,34,2,4,5,2,3,3,3,4
361,28,32753,71440,780524,770466,1058,89,4,1,2,5,4,3,4,4
362,27,14041,18460,1139662,285674,4225,130,1,2,5,2,4,3,5,5
363,24,11882,18493,282075,323891,2596,84,3,2,2,4,4,3,3,3
364,25,17435,10622,317440,959200,2556,96,3,2,5,1,1,3,5,2
365,29,17426,3617,243026,885164,6279,94,5,2,2,4,4,2,5,1
366,25,29744,35478,893133,570765,5815,213,4,4,3,5,3,4,5,4
367,32,14352,32506,45891,1216233,6449,229,1,5,2,3,4,2,2,5
368,34,19370,83477,753194,1045305,2395,225,2,4,5,1,5,3,4,3
369,27,23598,10073,764912,431156,3639,101,3,5,1,5,5,2,3,5
370,26,42200,11058,590648,149026,1346,121,1,3,4,1,3,2,5,2
371,24,14143,22160,986868,513310,1683,6,1,5,3,1,3,1,3,3
